"country","year","mean","sd","q10","q90"
"Belgium",1991,0.3817754665,0.0798434382074462,0.2806624,0.4860756
"Belgium",1992,0.3673402261,0.0952769783513971,0.2491856,0.4951652
"Belgium",1993,0.350101358,0.100268884842895,0.2254651,0.4865653
"Belgium",1994,0.33316947905,0.103079880640613,0.2025114,0.474593
"Belgium",1995,0.3164176525,0.0950371179268589,0.1976249,0.4424888
"Belgium",1996,0.2985432705,0.0809648932777351,0.2000483,0.4053736
"Belgium",1997,0.2791058875,0.0538375925378353,0.2117058,0.3510355
"Belgium",1998,0.3317230215,0.0661982387132952,0.249012,0.4183247
"Belgium",1999,0.3852253855,0.035127434123288,0.3414299,0.4304397
"Belgium",2000,0.4130884635,0.0553224639834422,0.3439918,0.4832093
"Belgium",2001,0.4809003705,0.0583135108573518,0.4076094,0.5570266
"Belgium",2002,0.522807786,0.0588458215308787,0.4484739,0.5978329
"Belgium",2003,0.5466053645,0.0711201639416641,0.4550782,0.6367822
"Belgium",2004,0.573746606,0.050368926809162,0.5097906,0.6382578
"Belgium",2005,0.5438263915,0.0722645143072329,0.4475865,0.6377663
"Belgium",2006,0.5101578995,0.0565443219750862,0.4374207,0.5819979
"Belgium",2007,0.5456717615,0.054897865330225,0.4750056,0.6154611
"Belgium",2008,0.519864077,0.054405506327581,0.4468981,0.5885126
"Belgium",2009,0.5341439165,0.0348971017567511,0.4895307,0.5784128
"Belgium",2010,0.5268521875,0.0460962126994937,0.4670654,0.5857347
"Belgium",2011,0.538880074,0.0564024455824955,0.465746,0.6104685
"Belgium",2012,0.577164737,0.051702731720447,0.507429,0.6440064
"Belgium",2013,0.5976454415,0.056329184785783,0.5250605,0.667624
"Belgium",2014,0.5076016895,0.0579219166474846,0.4327974,0.5818383
"Belgium",2015,0.527389238,0.0475791874282393,0.4651728,0.5888693
"Belgium",2016,0.5301047925,0.0530958853733624,0.4625736,0.5965864
"Belgium",2017,0.5224816885,0.039556006533571,0.471838,0.5718478
"Belgium",2018,0.551098075,0.056158532105616,0.4790526,0.6243899
"Belgium",2019,0.506015384,0.0607555693932226,0.4257928,0.5844225
"Belgium",2020,0.4427917215,0.0622253317572924,0.3647003,0.5240418
"Belgium",2021,0.338471145,0.0570924030291053,0.2672669,0.4135177
"Belgium",2022,0.437111159,0.0653651561152247,0.3515267,0.5209456
"Bolivia",1996,0.17310983565,0.0304115852981715,0.136044,0.2124814
